record_id,true_prior_id,pred_prior_id,baseline_prior_id,confidence,action,is_gt
AALA202505150214,AALA202505149407,AALA202505154106,AALA202505154106,0.65,supersedes,True
AALA202508263546,AALA202508193546,AALA202508193546,AALA202508193546,0.5,supersedes,True
AALA202502264577,AALA202502194577,AALA202502194577,AALA202502194577,0.65,supersedes,True
AALA202504176493,AALA202504116493,AALA202504116493,AALA202504177012,0.5,supersedes,True
AALA202507014784,AALA202506274784,AALA202506274784,AALA202506274784,0.5,supersedes,True
AALA202601081496,AALA202512311496,AALA202512311496,AALA202512311496,0.5,supersedes,True
AALA202506091334,AALA202506061334,AALA202506061334,AALA202506061334,0.5,supersedes,True
AALA202509242525,AALA202509192525,AALA202509192525,AALA202509192525,0.5,supersedes,True
AALA202601056931,AALA202512296931,AALA202507142738,AALA202512296931,0.4,no_action,True
AALA202501159236,AALA202501137877,AALA202501031169,AALA202501137877,0.5,no_action,True
AALA202502223801,AALA202502073801,AALA202502073801,AALA202502073801,0.5,supersedes,True
AALA202503314784,AALA202503124784,AALA202503124784,AALA202503124784,0.65,supersedes,True
AALA202502111958,AALA202502031958,AALA202502031958,AALA202502031958,0.5,supersedes,True
AALA202508117694,AALA202507317694,AALA202507317694,AALA202507317694,0.5,supersedes,True
AALA202509023891,AALA202508203891,AALA202508066451,AALA202508203891,1.0,supersedes,True
AALA202601066439,AALA202601026439,AALA202601026439,AALA202601026439,0.65,supersedes,True
AALA202502171457,AALA202502141457,AALA202502141457,AALA202502141457,0.65,supersedes,True
AALA202601058632,AALA202512318632,AALA202512318632,AALA202512318632,0.65,supersedes,True
AALA202501155255,AALA202501105255,AALA202501151248,AALA202501151248,0.65,supersedes,True
AALA202510205571,AALA202510175571,AALA202510175571,AALA202510175571,0.65,supersedes,True
AALA202505158295,AALA202505138295,AALA202505138295,AALA202505138295,0.65,supersedes,True
AALA202507010262,AALA202506250262,AALA202506250262,AALA202506250262,0.65,supersedes,True
AALA202510204966,AALA202510168498,AALA202510021322,AALA202510168498,0.5,no_action,True
AALA202508299000,AALA202508289000,AALA202508289000,AALA202508289000,0.5,supersedes,True
AALA202505151932,AALA202505131932,AALA202505131932,AALA202505131932,0.5,supersedes,True
AALA202501132199,AALA202501088435,AALA202501088435,AALA202501138435,0.5,supersedes,True
AALA202504302845,AALA202504282845,AALA202504249701,AALA202504282845,0.65,no_action,True
AALA202503182003,AALA202503132003,AALA202502241517,AALA202503132003,0.5,no_action,True
AALA202506305157,AALA202506235157,AALA202506235157,AALA202506235157,0.5,supersedes,True
AALA202509176203,AALA202509026203,AALA202508063808,AALA202509026203,0.5,no_action,True
AALA202502079012,AALA202502049012,AALA202501155909,AALA202502049012,0.5,no_action,True
AALA202502042619,AALA202501312619,AALA202501312619,AALA202501312619,0.5,supersedes,True
AALA202501304517,AALA202501299860,AALA202501091769,AALA202501299860,0.5,no_action,True
AALA202503110046,AALA202502050046,AALA202502050046,AALA202502050046,0.5,supersedes,True
AALA202504257753,AALA202504237753,AALA202504013074,AALA202504237753,0.85,supersedes,True
AALA202505139098,AALA202505119098,AALA202505119098,AALA202505119098,0.5,supersedes,True
AALA202509045297,AALA202509035297,AALA202509035297,AALA202509035297,0.5,supersedes,True
AALA202506106042,AALA202506056042,AALA202505150214,AALA202506056042,0.5,no_action,True
AALA202508047323,AALA202508037323,AALA202508037323,AALA202508037323,0.65,supersedes,True
AALA202505238726,AALA202505198726,AALA202504212680,AALA202505198726,0.5,no_action,True
AALA202501035620,AALA202501025620,AALA202501025620,AALA202501025620,0.65,supersedes,True
AALA202504297048,AALA202504227048,AALA202504227048,AALA202504227048,0.65,supersedes,True
AALA202502243981,AALA202502143981,AALA202502143981,AALA202502143981,0.5,supersedes,True
AALA202503128282,AALA202503118282,AALA202501139634,AALA202503118282,0.75,supersedes,True
AALA202502133159,AALA202502033159,AALA202502033159,AALA202502033159,0.5,supersedes,True
AALA202502136446,AALA202502126446,AALA202502126446,AALA202502126446,0.65,supersedes,True
AALA202512021215,AALA202512016165,AALA202511184178,AALA202512012913,1.0,supersedes,True
AALA202505292883,AALA202503172883,AALA202503193346,AALA202503193346,0.65,supersedes,True
AALA202505139929,AALA202505119929,AALA202505119929,AALA202505119929,0.5,supersedes,True
AALA202503283151,AALA202503273151,AALA202503273151,AALA202503273151,0.65,supersedes,True
AALA202502079343,AALA202502049343,AALA202502049343,AALA202502049343,0.5,supersedes,True
AALA202509027164,AALA202508087164,AALA202508087164,AALA202508087164,0.5,supersedes,True
AALA202503125936,AALA202503105936,AALA202503071076,AALA202503105936,0.65,supersedes,True
AALA202502116308,AALA202502106308,AALA202502114415,AALA202502114415,0.3,no_action,True
AALA202506052830,AALA202506022830,AALA202506022830,AALA202506022830,0.65,supersedes,True
AALA202506021666,AALA202505301666,AALA202505301666,AALA202505301666,0.65,supersedes,True
AALA202507255446,AALA202507185446,AALA202507185446,AALA202507185446,0.65,supersedes,True
AALA202504011909,AALA202503240627,AALA202504010627,AALA202504010627,0.5,supersedes,True
AALA202502258795,AALA202502128795,AALA202502128795,AALA202502128795,0.5,supersedes,True
AALA202506104685,AALA202506094685,AALA202506094685,AALA202506094685,0.65,supersedes,True
AALA202601068333,AALA202512168333,AALA202501298517,AALA202512168333,0.4,no_action,True
AALA202507148431,AALA202507088431,AALA202507088431,AALA202507088431,0.65,supersedes,True
AALA202501181933,AALA202501151933,AALA202501151933,AALA202501151933,0.5,supersedes,True
AALA202502282383,AALA202502272383,AALA202502272383,AALA202502272383,0.65,supersedes,True
AALA202506038452,AALA202506028452,AALA202506028452,AALA202506028452,0.5,supersedes,True
AALA202510230129,AALA202510210129,AALA202510210129,AALA202510210129,0.5,supersedes,True
AALA202505059873,AALA202504259873,AALA202504153576,AALA202504259873,0.85,partial_supersedes,True
AALA202505159763,AALA202505149763,AALA202505149763,AALA202505149763,0.5,supersedes,True
AALA202506258071,AALA202506178071,AALA202505197222,AALA202506178071,0.5,no_action,True
AALA202504241097,AALA202504221097,AALA202504221097,AALA202504221097,0.5,supersedes,True
AALA202501246707,AALA202501130507,AALA202501240507,AALA202501240507,0.15,no_action,True
AALA202506050273,AALA202506040273,AALA202506059401,AALA202506040273,0.85,supersedes,True
AALA202506127305,AALA202506107305,AALA202506059401,AALA202506107305,0.5,no_action,True
AALA202504094141,AALA202504073991,AALA202504073991,AALA202504073991,0.5,supersedes,True
AALA202503101840,AALA202502261840,AALA202502261840,AALA202502261840,0.5,supersedes,True
AALA202502285537,AALA202502275537,AALA202502275537,AALA202502275537,0.5,supersedes,True
AALA202507172094,AALA202507152094,AALA202507152094,AALA202507152094,0.65,supersedes,True
AALA202501249100,AALA202501229100,AALA202501229100,AALA202501229100,0.65,supersedes,True
AALA202503185090,AALA202503175090,AALA202503175090,AALA202503175090,0.65,supersedes,True
AALA202505193549,AALA202505093549,AALA202504219339,AALA202505093549,0.65,no_action,True
AALA202506115484,AALA202506065484,AALA202506065484,AALA202506065484,0.65,supersedes,True
AALA202510140789,AALA202510090789,AALA202510090789,AALA202510090789,0.5,supersedes,True
AALA202510302796,AALA202510012796,AALA202510012796,AALA202510012796,0.65,supersedes,True
AALA202501186333,AALA202501136333,AALA202501180173,AALA202501180173,0.15,no_action,True
AALA202501175630,AALA202501145630,AALA202501145630,AALA202501145630,0.65,supersedes,True
AALA202512086906,AALA202512026906,AALA202512026906,AALA202512026906,0.65,supersedes,True
AALA202501138435,AALA202501088435,AALA202501088435,AALA202501088435,0.5,supersedes,True
AALA202502075611,AALA202502055611,AALA202502055611,AALA202502055611,0.65,supersedes,True
AALA202503119386,AALA202502279386,AALA202502279386,AALA202502279386,0.65,supersedes,True
AALA202505232050,AALA202505222050,AALA202505222050,AALA202505222050,0.5,supersedes,True
AALA202510022319,AALA202509252319,AALA202509252319,AALA202509252319,0.5,supersedes,True
AALA202501240287,AALA202501160287,AALA202501030802,AALA202501160287,0.5,no_action,True
AALA202507148423,AALA202507088423,AALA202506115484,AALA202507088423,1.0,supersedes,True
AALA202510309329,AALA202510249329,AALA202510249329,AALA202510249329,0.65,supersedes,True
AALA202510073847,AALA202509268985,AALA202509268985,AALA202510076932,0.5,supersedes,True
AALA202504249701,AALA202504239701,AALA202504239701,AALA202504239701,0.5,supersedes,True
AALA202504105792,AALA202504075792,AALA202504075792,AALA202504075792,0.65,supersedes,True
AALA202512086774,AALA202512036774,AALA202512036774,AALA202512036774,0.5,supersedes,True
AALA202504012799,AALA202503242799,AALA202504018424,AALA202504018424,0.5,supersedes,True
AALA202507256183,AALA202507156183,AALA202507156183,AALA202507156183,0.5,supersedes,True
AALA202505011774,AALA202504281774,AALA202504281774,AALA202504281774,0.65,supersedes,True
AALA202601069824,AALA202512319824,AALA202512319824,AALA202512319824,0.65,supersedes,True
AALA202506059401,AALA202506029401,AALA202506029401,AALA202506029401,0.3,contradicts,True
AALA202512169539,AALA202512059539,AALA202512059539,AALA202512059539,0.5,supersedes,True
AALA202506250435,AALA202506230435,AALA202506230435,AALA202506230435,0.65,supersedes,True
AALA202503131183,AALA202502271183,AALA202501309558,AALA202502271183,0.5,no_action,True
AALA202504298847,AALA202504228847,AALA202504228847,AALA202504228847,0.5,supersedes,True
AALA202506252718,AALA202506232718,AALA202506232718,AALA202506232718,0.5,supersedes,True
AALA202504087761,AALA202504083644,AALA202504083644,AALA202504083644,0.5,supersedes,True
AALA202506171647,AALA202506091647,AALA202506091647,AALA202506091647,0.5,supersedes,True
AALA202601060573,AALA202512160573,AALA202501272158,AALA202512160573,0.4,no_action,True
AALA202510304928,AALA202510224928,AALA202510218901,AALA202510224928,0.85,supersedes,True
AALA202504295967,AALA202504225967,AALA202504160285,AALA202504225967,0.85,supersedes,True
AALA202505235102,AALA202505205102,AALA202505205102,AALA202505205102,0.65,supersedes,True
AALA202502266076,AALA202502246076,AALA202502112836,AALA202502246076,0.85,supersedes,True
AALA202601057475,AALA202512297475,AALA202512297475,AALA202512297475,0.5,supersedes,True
AALA202504295985,AALA202504285985,AALA202504285985,AALA202504285985,0.5,supersedes,True
AALA202505137458,AALA202505087458,AALA202505087458,AALA202505087458,0.5,supersedes,True
AALA202510270712,AALA202510210712,AALA202503107680,AALA202510210712,0.4,no_action,True
AALA202503116345,AALA202502106345,AALA202502106345,AALA202502106345,0.65,supersedes,True
AALA202502243381,AALA202502213381,AALA202502213381,AALA202502213381,0.65,supersedes,True
AALA202508204578,AALA202508194578,AALA202508118886,AALA202508194578,0.85,supersedes,True
AALA202601063655,AALA202512196384,AALA202512103373,AALA202512196384,0.5,no_action,True
AALA202501074549,AALA202501034549,AALA202501034549,AALA202501034549,0.5,supersedes,True
AALA202504229527,AALA202504219527,AALA202504219527,AALA202504219527,0.5,supersedes,True
AALA202502114415,AALA202502104415,AALA202502104415,AALA202502104415,0.5,supersedes,True
AALA202501135866,AALA202501095866,AALA202501078888,AALA202501095866,0.5,no_action,True
AALA202502119524,AALA202502109524,AALA202502049343,AALA202502109524,0.5,no_action,True
AALA202508018581,AALA202507217903,AALA202507161602,AALA202507217903,0.5,no_action,True
AALA202507227996,AALA202507147996,AALA202506028294,AALA202507147996,0.55,no_action,True
AALA202510060718,AALA202510030718,AALA202510069285,AALA202510069285,0.5,supersedes,True
AALA202506139830,AALA202506099830,AALA202506099830,AALA202506099830,0.5,supersedes,True
AALA202505238006,AALA202505208006,AALA202505208006,AALA202505208006,0.5,supersedes,True
AALA202510230424,AALA202510210424,AALA202510210424,AALA202510210424,0.65,supersedes,True
AALA202603069117,AALA202512179117,AALA202501273286,AALA202512179117,0.4,no_action,True
AALA202502114535,AALA202502034535,AALA202501217380,AALA202502034535,0.5,no_action,True
AALA202505200184,AALA202505150184,AALA202505150184,AALA202505150184,0.65,supersedes,True
AALA202508120644,AALA202508110644,AALA202508110644,AALA202508110644,0.5,supersedes,True
AALA202502074551,AALA202502044551,AALA202502044551,AALA202502044551,0.5,supersedes,True
AALA202506251119,AALA202506241119,AALA202506241119,AALA202506241119,0.65,supersedes,True
AALA202507299614,AALA202507229614,AALA202501221567,AALA202507229614,0.4,no_action,True
